config_id,sweep_type,target_eigenvalue_radius,target_condition_V,actual_spectral_radius,actual_condition_V,N,L,T_test,seed,trivial_max_eigenvalue,trivial_max_operator_norm,contract_C1,contract_C2,contract_C5,contract_C3,contract_C4,contract_C6,diverged,growth_ratio,log_growth,memory_retention,log_retention,final_norm
NN01,non_normal,0.95,1.0,0.9442105782285699,1.0,16,2,200,1,0.9442105782285699,0.9442105782285699,24.63146477984769,1.0661782158674116,0.06408049363468567,0.9442105782285699,100000000.0,0.054504274391884655,False,1.3737633775995824e-12,-23.025850929940457,0.0,-23.025850929940457,1.084735124664932e-14
NN02,non_normal,0.95,1.0,0.939803419521292,1.0,16,2,200,2,0.9450739217243384,0.9450739217243384,14.750057145844076,1.055299844286855,0.05382493914145675,0.9450739217243384,100000000.0,0.045828139712280946,False,4.952734960089645e-13,-23.025850929940457,0.0,-23.025850929940457,4.282490710439203e-14
NN03,non_normal,0.95,1.0,0.9450739217243384,1.0,16,2,200,3,0.9492115321658273,0.9492115321658273,34.49159045577338,1.073381891924573,0.07081431078838278,0.9492115321658273,100000000.0,0.06044176503043297,False,5.135087336031789e-12,-23.025850929940457,0.0,-23.025850929940457,9.397980156567505e-12
NN04,non_normal,0.95,10.0,0.944210578228571,33.857470755497104,16,2,200,1,0.944210578228571,1.0274910815846394,1061.0998924079781,1.261621085788694,0.09857670333573422,0.944210578228571,100000000.0,0.048340062637715064,False,2.978412417573329e-12,-23.025850929940457,0.0,-23.025850929940457,3.86462199746376e-12
NN05,non_normal,0.95,10.0,0.9398034195212939,53.07231207381522,16,2,200,2,0.9450739217243374,1.0274910815846394,1656.144488183327,1.2909522711675878,0.14912197327048554,0.9450739217243374,100000000.0,0.049464288895685105,False,3.240922597160003e-09,-19.547407795466512,0.21893235427608396,-1.5189924814643967,2.9976342226967406e-09
NN06,non_normal,0.95,10.0,0.9450739217243374,15.863683560304532,16,2,200,3,0.9492115321658279,1.0433793899490629,2512.987150617007,1.2994758983407868,0.13820793079828542,0.9492115321658279,100000000.0,0.047646845984688824,False,2.394191918472776e-10,-22.152805159571393,0.5190551224292366,-0.6557451925364854,1.8661083347208717e-10
NN07,non_normal,0.95,100.0,0.9442105782285705,98.70134375720843,16,2,200,1,0.9442105782285705,1.2370244369538406,10656.081416815197,1.7720924069379356,0.10858035221460378,0.961045569406415,100000000.0,0.17478997531902152,False,1.28462676271299e-11,-23.025850929940457,0.0,-23.025850929940457,3.053817372999995e-11
NN08,non_normal,0.95,100.0,0.9398034195212902,146.90108140544098,16,2,200,2,0.9450739217243367,1.2787742062887533,110193.93661901225,2.2429622028969507,0.09217055483895578,0.9642394071685746,100000000.0,0.1628623562813598,False,8.371864098112139e-11,-23.025850929940457,0.0,-23.025850929940457,2.5820526555143603e-11
NN09,non_normal,0.95,100.0,0.9450739217243367,131.46746829232333,16,2,200,3,0.9492115321658322,1.6900603437863149,324085.07567535306,3.4732414958885394,0.07919418181337456,0.9703916142102049,100000000.0,0.2582491980357078,False,2.499087448304302e-10,-22.109925285380847,0.0,-23.025850929940457,9.533517771363923e-11
NN10,non_normal,0.95,500.0,0.9442105782285776,315.42714248541375,16,2,200,1,0.9442105782285776,1.6145646974976924,203069.3131568793,2.8314427958019466,0.1129763022972809,0.9610455694064147,100000000.0,0.25437303359576857,False,7.051303224560001e-11,-23.025850929940457,0.21932315960474028,-1.5172090221815562,1.3558609014904094e-10
NN11,non_normal,0.95,500.0,0.9398034195212797,320.64410483115677,16,2,200,2,0.945073921724344,1.7467187959069739,1394017.583952462,4.265297808981131,0.057134024843259516,0.9642394071685758,100000000.0,0.30158011103263904,False,1.8016197990507035e-11,-23.025850929940457,0.0,-23.025850929940457,3.9074201683273167e-11
NN12,non_normal,0.95,500.0,0.945073921724344,274.73130769603273,16,2,200,3,0.9492115321657689,5.413418253790967,13442509.86025143,39.689846300943714,0.772348571842346,1.1273916722255568,100000000.0,0.9166654464202617,True,1000000.0,13.815510557964274,0.2437386306986596,-1.411658813479563,1.0022877173963348e+37
NN13,non_normal,0.95,1000.0,0.9442105782285802,570.8870369036,16,2,200,1,0.9442105782285802,2.085900053664429,287217.67497092276,5.327552092581438,0.2660816275522301,1.038352601921435,100000000.0,0.29839193800878494,False,0.0004906046825720587,-7.619871881603171,0.18995436481886235,-1.6609714208346091,0.00018991286811999086
NN14,non_normal,0.95,1000.0,0.9398034195213004,657.577705215027,16,2,200,2,0.9450739217243419,4.7308877588903515,24413402.575338177,28.119951178227666,0.7412184445790351,1.1205546925670373,100000000.0,1.1198981141518227,True,1000000.0,13.815510557964274,0.2863484849407556,-1.2505457310912929,1.933194586995236e+54
NN15,non_normal,0.95,1000.0,0.9450739217243419,714.2557783622264,16,2,200,3,0.9492115321657689,5.413418253790967,100000000.0,64.91678312699007,0.06906139535871106,1.1273916722255568,100000000.0,1.1109647262096647,False,2.3726120409753504e-08,-17.556689268707586,0.18674964470308636,-1.6779863574980007,5.8134560244789605e-09
NN16,non_normal,0.99,1.0,0.9839668131013518,1.0,16,2,200,1,0.9839668131013518,0.9839668131013518,24.631464779847654,1.0661782158674113,0.06408049363468558,0.9839668131013518,100000000.0,0.05919073610136949,False,2.0070013197062447e-05,-10.816283737604552,1.0,0.0,1.584745133138072e-07
NN17,non_normal,0.99,1.0,0.9793740898169253,1.0,16,2,200,2,0.9848665079022052,0.9848665079022052,14.750057145844096,1.0552998442868549,0.053824939141456696,0.9848665079022052,100000000.0,0.04976859804100442,False,7.235704316433182e-06,-11.836482854113953,1.0,0.0,6.256510144053605e-07
NN18,non_normal,0.99,1.0,0.9848665079022052,1.0,16,2,200,3,0.989178333520178,0.989178333520178,34.491590455773334,1.073381891924573,0.0708143107883828,0.989178333520178,100000000.0,0.0656387522507782,False,7.5021122474752e-05,-9.497740851082398,1.0,0.0,0.00013729990829833882
NN19,non_normal,0.99,10.0,0.9839668131013537,33.85747075552742,16,2,200,1,0.9839668131013537,1.0707538639671508,1061.0998924080338,1.2616210857886938,0.09857670333573439,0.9839668131013537,100000000.0,0.05249650458861366,False,4.3513153357928856e-05,-10.042447289531717,0.1709881279958432,-1.7661611518145313,5.646024326713471e-05
NN20,non_normal,0.99,10.0,0.9793740898169252,53.07231207400093,16,2,200,2,0.9848665079022039,1.0707538639671508,1656.144488183374,1.2909522711675872,0.1491219732704853,0.9848665079022039,100000000.0,0.05371739561956934,False,0.0473482991003313,-3.0502243818467587,0.2189323542760807,-1.5189924814644116,0.04379397455959602
NN21,non_normal,0.99,10.0,0.9848665079022039,15.863683560302487,16,2,200,3,0.9891783335201786,1.0873111537363918,2512.9871506169197,1.2994758983407866,0.13820793079828567,0.9891783335201786,100000000.0,0.051743682825035164,False,0.003497797669058072,-5.655621745951695,0.5190551224291973,-0.6557451925365612,0.0027262932988097724
NN22,non_normal,0.99,100.0,0.9839668131013555,98.70134375720843,16,2,200,1,0.9839668131013555,1.2891096764045264,10656.081416817015,1.7720924069379345,0.10858035221460047,1.0015106460130012,100000000.0,0.1898190080999147,False,0.0001876777071026245,-8.580784390191365,0.2673875415071284,-1.3190562066221059,0.0004461478299459114
NN23,non_normal,0.99,100.0,0.9793740898169243,146.9010814049375,16,2,200,2,0.984866507902209,1.332617330764071,110193.93661884684,2.242962202896948,0.09217055483896198,1.0048389611546222,100000000.0,0.1768658120679898,False,0.0012230885294586792,-6.7063760377679955,0.06958101754565872,-2.665263485254052,0.00037722530471191485
NN24,non_normal,0.99,100.0,0.984866507902209,131.46746829227882,16,2,200,3,0.9891783335201911,1.761220779314161,324085.0756754106,3.4732414958885403,0.07919418181338088,1.0112502084927408,100000000.0,0.2804543368363428,False,0.0036510449241798798,-5.6127418717609805,0.12697136113804391,-2.0637937208031842,0.0013928004677196365
NN25,non_normal,0.99,500.0,0.9839668131013498,315.42714248484253,16,2,200,1,0.9839668131013498,1.6825463689712763,203069.31315715128,2.8314427958019386,0.11297630229727018,1.0015106460130014,100000000.0,0.2762448866783511,False,0.0010301610239496814,-6.878040155027739,0.21932315960473925,-1.5172090221815608,0.001980846674906374
NN26,non_normal,0.99,500.0,0.97937408981692,320.6441048255295,16,2,200,2,0.9848665079022116,1.8202648504714807,1394017.5839345313,4.265297808981131,0.057134024843258614,1.004838961154621,100000000.0,0.3275109881696281,False,0.0002632078692200983,-8.242566460707403,0.1460301108647878,-1.923942439738182,0.0005708550367810794
NN27,non_normal,0.99,500.0,0.9848665079022116,274.7313076988265,16,2,200,3,0.9891783335200779,5.641351653950593,13442509.86118566,39.68984630094373,0.7806716628970947,1.1748607952666232,100000000.0,0.9954834393756188,True,1000000.0,13.815510557964274,0.24373863069866192,-1.4116588134795534,1.4642934906670448e+44
NN28,non_normal,0.99,1000.0,0.983966813101331,570.8870369162324,16,2,200,1,0.983966813101331,2.173727424345033,287217.67497112736,5.327552092581403,0.2660816275539721,1.0820727114760176,100000000.0,0.32404868525474695,True,7167.495228260363,8.87731153201058,0.18995436481886155,-1.6609714208346136,2774.5344151616414
NN29,non_normal,0.99,1000.0,0.9793740898169178,657.5777052498883,16,2,200,2,0.9848665079022209,4.930083032948882,24413402.573630042,28.119951178227662,0.7280616632427773,1.1677359427803884,100000000.0,1.2161907387038164,True,1000000.0,13.815510557964274,0.2863484849407541,-1.250545731091298,2.8243030427381727e+61
NN30,non_normal,0.99,1000.0,0.9848665079022209,714.255778354774,16,2,200,3,0.9891783335200779,5.641351653950593,100000000.0,64.91678312698983,0.06906139535870742,1.1748607952666232,100000000.0,1.2064892278760015,False,0.34662705201190724,-1.0595058550870653,0.1867496447030569,-1.6779863574981586,0.08493175828851693
NN31,non_normal,0.995,1.0,0.9889363424604495,1.0,16,2,200,1,0.9889363424604495,0.9889363424604495,24.631464779847896,1.0661782158674116,0.06408049363468576,0.9889363424604495,100000000.0,0.05979013213831097,False,0.0001505574038418562,-8.801166125621673,1.0,0.0,1.1888139317775898e-06
NN32,non_normal,0.995,1.0,0.9843204236038795,1.0,16,2,200,2,0.9898405811744386,0.9898405811744386,14.750057145844103,1.055299844286855,0.053824939141456765,0.9898405811744386,100000000.0,0.05027258063008422,False,5.427942902443784e-05,-9.821365242131085,1.0,0.0,4.6933896612326235e-06
NN33,non_normal,0.995,1.0,0.9898405811744386,1.0,16,2,200,3,0.9941741836894719,0.9941741836894719,34.491590455773256,1.073381891924573,0.07081431078838273,0.9941741836894719,100000000.0,0.06630344423740087,False,0.0005627791731972308,-7.482623239099545,1.0,0.0,0.0010299703113373403
NN34,non_normal,0.995,10.0,0.9889363424604501,33.85747075552196,16,2,200,1,0.9889363424604501,1.0761617117649638,1061.099892407999,1.261621085788694,0.09857670333573369,0.9889363424604501,100000000.0,0.05302811137163821,False,0.00032641868932605785,-8.027329677548916,0.17098812799585505,-1.766161151814462,0.0004235427033911087
NN35,non_normal,0.995,10.0,0.9843204236038788,53.07231207425772,16,2,200,2,0.9898405811744387,1.0761617117649638,1656.1444881833447,1.2909522711675872,0.14912197327048457,0.9898405811744387,100000000.0,0.05426136577723073,False,0.3551884554771869,-1.03510676986419,0.2189323542760936,-1.5189924814643527,0.3285253003506534
NN36,non_normal,0.995,10.0,0.9898405811744387,15.863683560296794,16,2,200,3,0.9941741836894743,1.0928026242098081,2512.9871506170384,1.2994758983407861,0.13820793079828586,0.9941741836894743,100000000.0,0.052267666145143665,False,0.026239112602799115,-3.640504133968994,0.5190551224292304,-0.6557451925364974,0.02045158800594578
NN37,non_normal,0.995,100.0,0.9889363424604526,98.70134375737516,16,2,200,1,0.9889363424604526,1.2956203313358607,10656.081416815785,1.7720924069379318,0.10858035221460217,1.0065687805888246,100000000.0,0.19174121364566554,False,0.0014078848909032133,-6.565666778208173,0.2673875415071387,-1.3190562066220672,0.0033468268479351394
NN38,non_normal,0.995,100.0,0.9843204236038812,146.90108140528704,16,2,200,2,0.9898405811744387,1.3393477213234843,110193.93661883764,2.242962202896942,0.09217055483895785,1.0099139054028763,100000000.0,0.17865684684482186,False,0.009175132664634768,-4.691258425785301,0.06958101754560408,-2.665263485254837,0.0028297969703968444
NN39,non_normal,0.995,100.0,0.9898405811744387,131.46746829204812,16,2,200,3,0.994174183689476,1.7701158337551406,324085.0756772799,3.473241495888541,0.0791941818133814,1.016357532778057,100000000.0,0.28329436264299546,False,0.027388713684301513,-3.5976242597781263,0.1269713611382011,-2.0637937208019466,0.010448245371371807
NN40,non_normal,0.995,500.0,0.9889363424604501,315.42714248543894,16,2,200,1,0.9889363424604501,1.6910440779054767,203069.31315721586,2.831442795801943,0.11297630229727115,1.0065687805888248,100000000.0,0.2790422854134601,False,0.0077278658355674395,-4.86292254304464,0.2193231596047338,-1.5172090221815857,0.014859538449454625
NN41,non_normal,0.995,500.0,0.984320423603891,320.64410483375906,16,2,200,2,0.9898405811744445,1.82945810729204,1394017.583983455,4.265297808981103,0.057134024843252404,1.009913905402877,100000000.0,0.33082753398901454,False,0.001974482680774063,-6.227448848724982,0.14603011086483614,-1.9239424397378508,0.00428233162897756
NN42,non_normal,0.995,500.0,0.9898405811744445,274.73130769978724,16,2,200,3,0.9941741836894411,5.669843328970548,13442509.861661945,39.689846300943394,0.7783850364242034,1.1807944356467737,100000000.0,1.005564220046777,True,1000000.0,13.815510557964274,0.2437386306986645,-1.4116588134795427,1.0984558119258839e+45
NN43,non_normal,0.995,1000.0,0.9889363424604646,570.8870369182672,16,2,200,1,0.9889363424604646,2.1847058456801105,287217.6749717564,5.327552092581423,0.26608162755390324,1.0875377251703455,100000000.0,0.3273301700023832,True,53767.75107339315,10.892429143996791,0.18995436481886555,-1.6609714208345925,20813.474027961693
NN44,non_normal,0.995,1000.0,0.984320423603877,657.5777052287208,16,2,200,2,0.9898405811744797,4.9549824422062025,24413402.584619217,28.11995117822754,0.740817627904128,1.1736335990570614,100000000.0,1.2285065157486441,True,1000000.0,13.815510557964274,0.28634848494075343,-1.2505457310913004,2.1186818842693392e+62
NN45,non_normal,0.995,1000.0,0.9898405811744797,714.2557782705782,16,2,200,3,0.9941741836894411,5.669843328970548,100000000.0,64.91678312698977,0.06906139535870481,1.1807944356467737,100000000.0,1.2187067623996901,False,2.6002608239327483,0.9556117568932437,0.18674964470299232,-1.6779863574985043,0.6371248940430139
NN46,non_normal,1.0,1.0,0.9939058718195473,1.0,16,2,200,1,0.9939058718195473,0.9939058718195473,24.631464779847743,1.0661782158674113,0.06408049363468571,0.9939058718195473,100000000.0,0.06039254780264225,False,0.0011180721223208174,-6.796149396203964,1.0,0.0,8.828391575769355e-06
NN47,non_normal,1.0,1.0,0.9892667573908337,1.0,16,2,200,2,0.9948146544466719,0.9948146544466719,14.750057145844083,1.055299844286855,0.05382493914145675,0.9948146544466719,100000000.0,0.050779102174272506,False,0.00040309088001717967,-7.816348512713369,1.0,0.0,3.485413540289862e-05
NN48,non_normal,1.0,1.0,0.9948146544466719,1.0,16,2,200,3,0.9991700338587657,0.9991700338587657,34.491590455773284,1.073381891924573,0.07081431078838274,0.9991700338587657,100000000.0,0.06697148479826354,False,0.0041793209003226665,-5.477606509681823,1.0,0.0,0.007648784201499521
NN49,non_normal,1.0,10.0,0.9939058718195468,33.857470755497374,16,2,200,1,0.9939058718195468,1.0815695595627786,1061.099892407966,1.261621085788695,0.09857670333573476,0.9939058718195468,100000000.0,0.05356239627447579,False,0.0024240563893047538,-6.022312948131144,0.1709881279958794,-1.7661611518143197,0.003145320503609767
NN50,non_normal,1.0,10.0,0.989266757390833,53.07231207432025,16,2,200,2,0.9948146544466713,1.0815695595627786,1656.14448818333,1.290952271167588,0.1491219732704851,0.9948146544466713,100000000.0,0.054808076338709766,False,2.6377069483506204,0.9699099595536788,0.2189323542760865,-1.5189924814643851,2.439700542293023
NN51,non_normal,1.0,10.0,0.9948146544466713,15.863683560305045,16,2,200,3,0.9991700338587659,1.0982940946832236,2512.987150616824,1.2994758983407864,0.13820793079828567,0.9991700338587659,100000000.0,0.052794289179711296,False,0.1948573737791289,-1.635487404551239,0.5190551224292037,-0.6557451925365487,0.1518779536784353
NN52,non_normal,1.0,100.0,0.9939058718195507,98.70134375728293,16,2,200,1,0.9939058718195507,1.3021309862672001,10656.081416819097,1.7720924069379382,0.10858035221460222,1.0116269151646478,100000000.0,0.19367310284656103,False,0.010455260304627156,-4.560650048790519,0.2673875415071396,-1.319056206622064,0.024854266222879312
NN53,non_normal,1.0,100.0,0.989266757390838,146.90108140537203,16,2,200,2,0.9948146544466743,1.3460781118828986,110193.9366189181,2.242962202896949,0.09217055483895593,1.0149888496511317,100000000.0,0.180456904466881,False,0.06813653655781514,-2.6862416963678712,0.0695810175456214,-2.665263485254588,0.021014689571502296
NN54,non_normal,1.0,100.0,0.9948146544466743,131.46746829231822,16,2,200,3,0.9991700338587621,1.7790108881961206,324085.07567666215,3.4732414958885363,0.0791941818133815,1.0214648570633735,100000000.0,0.2861486958844416,False,0.20339456217516028,-1.592607530360451,0.12697136113761903,-2.063793720806531,0.07759094922473606
NN55,non_normal,1.0,500.0,0.9939058718195467,315.4271424826866,16,2,200,1,0.9939058718195467,1.6995417868396754,203069.31315695037,2.8314427958019395,0.11297630229729158,1.0116269151646482,100000000.0,0.28185377683741497,False,0.057388817390078804,-2.8579058136244746,0.21932315960469387,-1.5172090221817678,0.11035017386706074
NN56,non_normal,1.0,500.0,0.9892667573908349,320.6441048263321,16,2,200,2,0.9948146544466728,1.8386513641126048,1394017.583984671,4.265297808981121,0.057134024843260876,1.0149888496511317,100000000.0,0.3341607878477978,False,0.01466293908533834,-4.222432119306788,0.1460301108649634,-1.9239424397369793,0.03180152879046316
NN57,non_normal,1.0,500.0,0.9948146544466728,274.73130769705693,16,2,200,3,0.9991700338586705,5.698335003990497,13442509.861172145,39.689846300943564,0.7759843138551286,1.1867280760268941,100000000.0,1.0156957855072126,True,1000000.0,13.815510557964274,0.24373863069866233,-1.4116588134795516,8.157372467763319e+45
NN58,non_normal,1.0,1000.0,0.9939058718195626,570.8870369227844,16,2,200,1,0.9939058718195626,2.195684267015185,287217.6749724534,5.32755209258139,0.26608162755256104,1.0930027388646688,100000000.0,0.33062818615931566,True,399291.0479396023,12.897445873415077,0.1899543648188666,-1.660971420834587,154565.39821693167
NN59,non_normal,1.0,1000.0,0.9892667573908264,657.5777052332152,16,2,200,2,0.994814654446668,4.979881851463513,24413402.575468797,28.119951178227552,0.7491392009569059,1.179531255333721,100000000.0,1.2408843370103169,True,1000000.0,13.815510557964274,0.28634848494075593,-1.2505457310912915,1.5733793824922923e+63
NN60,non_normal,1.0,1000.0,0.994814654446668,714.2557783812338,16,2,200,3,0.9991700338586705,5.698335003990497,100000000.0,64.91678312699035,0.0690613953587294,1.1867280760268941,100000000.0,1.2309858462156926,True,19.31010407875171,2.960628486314645,0.18674964470312114,-1.6779863574978147,4.731428440515583
NN61,non_normal,1.005,1.0,0.9988754011786449,1.0,16,2,200,1,0.9988754011786449,0.9988754011786449,24.631464779847917,1.0661782158674116,0.06408049363468576,0.9988754011786449,100000000.0,0.06099798309436377,False,0.008220429737425983,-4.801132791788362,1.0,0.0,6.490920504524586e-05
NN62,non_normal,1.005,1.0,0.9942130911777878,1.0,16,2,200,2,0.9997887277189051,0.9997887277189051,14.750057145844044,1.055299844286855,0.053824939141456696,0.9997887277189051,100000000.0,0.051288162673569615,False,0.00296365519793149,-5.821331908297782,1.0,0.0,0.0002562589348382313
NN63,non_normal,1.005,1.0,0.9997887277189051,1.0,16,2,200,3,1.0041658840280594,1.0041658840280594,34.491590455773284,1.073381891924573,0.07081431078838278,1.0041658840280594,100000000.0,0.06764287393336621,False,0.030727725989576054,-3.4825899052662366,1.0,0.0,0.056236348129889605
NN64,non_normal,1.005,10.0,0.9988754011786471,33.85747075550967,16,2,200,1,0.9988754011786471,1.086977407360593,1061.0998924079868,1.2616210857886943,0.09857670333573429,0.9988754011786471,100000000.0,0.054099359297126726,False,0.017822450654146435,-4.027296343715477,0.17098812799585347,-1.7661611518144713,0.02312541891120501
NN65,non_normal,1.005,10.0,0.9942130911777882,53.07231207422338,16,2,200,2,0.9997887277189044,1.086977407360593,1656.1444881833872,1.2909522711675883,0.14912197327048354,0.9997887277189044,100000000.0,0.05535752730400567,True,19.39327902374549,2.9649265639693883,0.21893235427608088,-1.5189924814644107,17.93747155295564
NN66,non_normal,1.005,10.0,0.9997887277189044,15.863683560308564,16,2,200,3,1.0041658840280605,1.1037855651566402,2512.9871506171075,1.2994758983407855,0.1382079307982847,1.0041658840280605,100000000.0,0.053323551928737944,False,1.4326547617035235,0.3595291998644892,0.5190551224292144,-0.6557451925365282,1.11665609217235
NN67,non_normal,1.005,100.0,0.9988754011786469,98.70134375717058,16,2,200,1,0.9988754011786469,1.308641641198536,10656.081416818757,1.772092406937936,0.10858035221460273,1.0166850497404707,100000000.0,0.19561467570259872,False,0.07687047284774289,-2.565633444374985,0.267387541507134,-1.3190562066220848,0.18273664558986757
NN68,non_normal,1.005,100.0,0.9942130911777889,146.9010814053057,16,2,200,2,0.9997887277189071,1.3528085024423138,110193.93661885604,2.242962202896949,0.09217055483895419,1.0200637938993873,100000000.0,0.18226598493416135,False,0.5009619685021887,-0.6912250919519474,0.06958101754573535,-2.6652634852529506,0.15450682977219002
NN69,non_normal,1.005,100.0,0.9997887277189071,131.46746829247948,16,2,200,3,1.0041658840280687,1.787905942637106,324085.0756764998,3.4732414958885403,0.0791941818133818,1.026572181348691,100000000.0,0.2890173365606855,False,1.4954229462988013,0.4024090740552258,0.12697136113781796,-2.063793720804964,0.5704738841337139
NN70,non_normal,1.005,500.0,0.9988754011786377,315.4271424812846,16,2,200,1,0.9988754011786377,1.7080394957738732,203069.31315678227,2.831442795801941,0.1129763022972706,1.0166850497404707,100000000.0,0.2846793609502115,False,0.42194124301153035,-0.8628892092099911,0.21932315960474055,-1.5172090221815548,0.8113303539876534
NN71,non_normal,1.005,500.0,0.9942130911777857,320.644104833409,16,2,200,2,0.9997887277189111,1.8478446209331643,1394017.5839499782,4.265297808981122,0.057134024843250274,1.0200637938993875,100000000.0,0.33751074974597317,False,0.10780669519318788,-2.227415514892347,0.14603011086450296,-1.9239424397401323,0.2338151785972038
NN72,non_normal,1.005,500.0,0.9997887277189111,274.7313076925726,16,2,200,3,1.0041658840280308,5.726826679010455,13442509.862172948,39.68984630094463,0.7688134047347364,1.1926617164070419,100000000.0,1.025878135756924,True,1000000.0,13.815510557964274,0.24373863069866167,-1.4116588134795542,5.997565440944558e+46
NN73,non_normal,1.005,1000.0,0.9988754011786339,570.8870369279127,16,2,200,1,0.9988754011786339,2.206662688350264,287217.67497163196,5.327552092581405,0.2660816275536827,1.0984677525589888,100000000.0,0.33394273372556216,True,704616.2516254069,13.465408609660757,0.18995436481886327,-1.6609714208346045,1136415.0581242729
NN74,non_normal,1.005,1000.0,0.9942130911777916,657.5777052306696,16,2,200,2,0.9997887277188958,5.004781260720822,24413402.580842394,28.11995117822717,0.7362570384619666,1.1854289116103884,100000000.0,1.253324202488845,True,1000000.0,13.815510557964274,0.2863484849407574,-1.2505457310912866,1.1567996738193184e+64
NN75,non_normal,1.005,1000.0,0.9997887277188958,714.255778375507,16,2,200,3,1.0041658840280308,5.726826679010455,100000000.0,64.91678312699058,0.06906139535870862,1.1926617164070419,100000000.0,1.243326479324006,True,141.97416305482133,4.955645090728134,0.1867496447029611,-1.6779863574986715,34.787000119619144
